,Gender,Age,Height,Weight,family_history_with_overweight,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,predict_Obe
0,0,21.521294,1.803677,160.639405,yes,3,3,Sometimes,no,2.404049,no,0.427905,0.639894,Obesity_Type_III
1,0,18.314593,1.745602,133.554686,yes,3,3,Sometimes,no,2.923792,no,1.536555,0.62535,Obesity_Type_III
2,0,19.529746,1.751038,133.843033,yes,3,4,Sometimes,no,2.955075,no,1.46046,0.655558,Obesity_Type_III
3,0,26.0,1.631547,111.588625,yes,2,4,Sometimes,no,2.554007,no,0.0,0.252635,Obesity_Type_III
4,0,26.0,1.635905,111.571076,yes,2,4,Sometimes,no,2.511399,no,0.0,0.258472,Obesity_Type_III
5,0,26.0,1.616975,104.846218,yes,2,4,Sometimes,no,2.653563,no,0.0,0.55415,Obesity_Type_III
6,0,26.0,1.62788,104.92057,yes,2,2,Sometimes,no,2.588107,yes,0.0,0.465607,Obesity_Type_III
7,0,21.768153,1.76416,133.888629,yes,2,2,Sometimes,no,2.32502,yes,1.441791,0.918468,Obesity_Type_III
8,0,21.238416,1.763847,133.937873,yes,2,2,Sometimes,no,2.836791,yes,1.46782,0.890527,Obesity_Type_III
9,0,25.930376,1.608808,102.083964,yes,2,2,Sometimes,no,1.019684,yes,0.026033,1.0,Obesity_Type_III
10,0,25.919571,1.610488,102.174953,yes,2,2,Sometimes,no,1.032834,yes,0.04525,0.922749,Obesity_Type_III
11,0,25.918524,1.621231,104.986792,no,2,2,Sometimes,no,1.653049,yes,0.139159,0.711331,Overweight_Level_I
12,0,25.565662,1.642392,104.988082,no,3,2,Sometimes,no,1.204055,yes,0.094851,0.603736,Obesity_Type_III
13,0,18.744914,1.801983,138.034526,no,3,2,Sometimes,no,2.691591,yes,1.168368,0.735372,Obesity_Type_III
14,0,21.704699,1.787614,137.858254,yes,3,4,Sometimes,no,2.531456,yes,1.980738,0.835771,Obesity_Type_III
15,0,20.089969,1.801478,151.417292,yes,3,4,Sometimes,no,2.226081,yes,1.881761,0.933964,Obesity_Type_III
16,0,18.120739,1.807576,152.567671,yes,3,4,Sometimes,no,2.164718,no,1.999631,0.941336,Obesity_Type_III
17,0,26.0,1.650125,111.939671,yes,3,4,Sometimes,no,2.770732,no,0.0,0.125235,Obesity_Type_III
18,0,26.0,1.652674,111.919155,yes,3,4,Sometimes,no,2.814517,no,0.0,0.101598,Obesity_Type_III
19,0,25.986185,1.663632,105.122109,yes,3,4,Sometimes,no,1.626467,no,0.010183,0.412806,Obesity_Type_III
20,0,25.982113,1.627818,105.428628,yes,3,4,Sometimes,no,1.48075,no,0.098043,0.663492,Obesity_Type_III
21,0,25.748627,1.66877,104.774144,yes,3,4,Sometimes,no,1.526416,no,0.180158,0.747909,Obesity_Type_III
22,0,25.959772,1.642098,104.966758,yes,3,4,Sometimes,no,1.482002,no,0.204108,0.657221,Obesity_Type_III
23,0,25.653233,1.65757,109.931233,yes,3,3,Sometimes,no,1.610472,no,0.029728,0.472343,Obesity_Type_III
24,0,25.783865,1.643111,109.910012,yes,3,1,Sometimes,no,1.530992,no,0.01586,0.445495,Obesity_Type_III
25,0,21.412434,1.675562,121.639178,yes,3,1,Sometimes,no,1.484938,no,0.74225,0.604692,Obesity_Type_III
26,0,22.77789,1.661415,120.748213,yes,1,1,Sometimes,no,1.91039,no,0.217455,0.77582,Obesity_Type_I
27,0,21.140165,1.713133,133.735889,yes,1,1,Sometimes,no,1.411365,no,1.564618,0.910683,Obesity_Type_III
28,0,21.413498,1.7199,133.886031,yes,1,1,Sometimes,no,2.41752,no,1.556155,0.873936,Obesity_Type_III
29,0,26.0,1.622701,109.982692,yes,1,1,Sometimes,no,2.688229,no,0.0,0.451377,Obesity_Type_III
30,0,26.0,1.622468,110.400847,no,1,3,Sometimes,no,2.695094,no,0.0,0.413474,Obesity_Type_III
31,0,26.0,1.618867,110.777391,no,1,3,Sometimes,no,2.618198,no,0.0,0.380695,Obesity_Type_III
32,0,26.0,1.600905,110.074946,no,3,3,Sometimes,no,2.555189,no,0.0,0.462973,Obesity_Type_III
33,0,21.391371,1.730636,131.902591,no,3,3,Sometimes,no,1.419136,no,1.700889,0.930888,Obesity_Type_III
34,0,21.051982,1.729719,131.877558,no,3,3,Sometimes,no,1.422483,no,1.708971,0.673009,Obesity_Type_III
35,0,23.455303,1.677672,114.470482,yes,3,3,Sometimes,no,2.426094,no,0.294763,0.737226,Obesity_Type_III
36,0,23.69484,1.637524,113.90506,yes,3,3,Sometimes,no,2.495961,no,0.189831,0.652289,Obesity_Type_III
37,0,20.601222,1.738717,128.114161,yes,3,3,Sometimes,no,1.797041,no,1.427413,0.966181,Obesity_Type_III
38,0,20.81158,1.741193,128.763843,yes,3,3,Sometimes,no,1.768111,no,0.616503,0.968151,Obesity_Type_III
39,0,19.993565,1.792833,152.43563,yes,3,3,Sometimes,no,2.365188,no,1.256115,0.760091,Obesity_Type_III
40,0,20.074449,1.810427,152.217135,yes,3,3,Sometimes,no,2.299156,no,1.699056,0.729722,Obesity_Type_III
41,0,18.904037,1.743589,133.281333,yes,2,3,Sometimes,no,2.684819,no,1.46525,0.804491,Obesity_Type_III
42,0,19.783234,1.747962,133.936535,yes,3,3,Sometimes,no,2.84174,no,1.429256,0.775378,Obesity_Type_III
43,0,24.291205,1.71146,113.372851,yes,3,2,Sometimes,no,2.796894,no,0.382189,0.16779,Obesity_Type_III
44,0,25.311534,1.685482,113.451224,yes,3,2,Sometimes,no,2.987718,no,0.387074,0.283804,Obesity_Type_III
45,0,26.0,1.639251,111.927001,yes,3,2,Sometimes,no,2.675567,no,0.0,0.081929,Obesity_Type_III
46,0,26.0,1.654784,111.933152,yes,3,2,Sometimes,no,2.770125,no,0.0,0.088236,Obesity_Type_III
47,0,26.0,1.641209,111.856492,yes,2,2,Sometimes,no,2.621877,no,0.0,0.153669,Obesity_Type_III
48,0,26.0,1.643167,111.894229,yes,2,2,Sometimes,no,2.72005,no,0.0,0.127443,Obesity_Type_III
49,0,25.966504,1.63073,104.790549,yes,2,2,Sometimes,no,2.436097,no,0.129178,0.683736,Obesity_Type_III
50,0,25.950898,1.649867,104.791035,yes,2,2,Sometimes,no,2.535629,no,0.152713,0.7702,Obesity_Type_III
51,0,26.0,1.613574,107.012256,yes,2,2,Sometimes,no,2.678779,no,0.0,0.508848,Obesity_Type_III
52,0,26.0,1.627532,106.69053,yes,2,3,Sometimes,no,2.569713,no,0.0,0.396972,Obesity_Type_III
53,0,20.848608,1.726606,131.76807,yes,2,3,Sometimes,no,1.759352,no,1.469928,0.950438,Obesity_Type_III
54,0,20.801791,1.721476,131.042274,yes,2,3,Sometimes,no,1.837184,no,1.525165,0.926443,Obesity_Type_III
55,0,23.712641,1.742901,132.8071,no,3,3,Sometimes,no,2.856795,no,1.046463,0.586163,Obesity_Type_III
56,0,24.063874,1.737313,133.166595,no,3,4,Sometimes,no,2.846259,no,1.295759,0.723154,Obesity_Type_III
57,0,25.95774,1.62414,102.233445,no,3,4,Sometimes,no,1.067716,no,0.030541,1.0,Obesity_Type_III
58,0,25.909353,1.644078,102.277765,no,3,4,Sometimes,no,1.029241,no,0.075776,1.0,Obesity_Type_III
59,0,25.954995,1.592529,102.874549,no,3,4,Sometimes,no,1.074412,no,0.006265,0.845633,Obesity_Type_III
60,0,25.908829,1.607734,102.305767,no,3,4,Sometimes,no,1.030501,no,0.06582,0.991473,Obesity_Type_III
61,0,19.297004,1.817271,141.917802,no,3,4,Sometimes,no,2.699675,no,1.520818,0.76399,Obesity_Type_III
62,0,18.301773,1.808765,140.292018,no,3,4,Sometimes,no,2.830247,no,1.783138,0.789064,Obesity_Type_III
63,0,19.872667,1.817231,152.371911,yes,3,4,Sometimes,no,2.305521,no,1.956278,0.92376,Obesity_Type_III
64,0,18.13782,1.819728,151.278532,yes,3,4,Sometimes,no,2.155926,no,1.999836,0.94603,Obesity_Type_III
65,0,26.0,1.656465,111.949972,yes,3,3,Sometimes,no,2.784303,no,0.0,0.127775,Obesity_Type_III
66,0,26.0,1.648143,111.950113,yes,3,3,Sometimes,no,2.786417,no,0.0,0.079673,Obesity_Type_III
67,0,26.0,1.622703,111.216192,yes,3,3,Sometimes,no,2.707201,no,0.0,0.167272,Obesity_Type_III
68,0,26.0,1.640606,111.036881,yes,3,3,Sometimes,no,2.709428,no,0.0,0.228486,Obesity_Type_III
69,0,25.42724,1.683502,104.759643,yes,3,3,Sometimes,no,1.525127,no,0.220825,0.896105,Obesity_Type_III
70,0,25.795187,1.669039,104.593929,yes,3,3,Sometimes,no,1.554925,no,0.209586,0.823069,Obesity_Type_III
71,0,25.493586,1.673665,104.704707,yes,3,3,Sometimes,no,1.170515,no,0.264831,0.896842,Obesity_Type_III
72,0,25.524336,1.668931,104.768318,yes,3,3,Sometimes,no,1.436616,no,0.167086,0.764717,Obesity_Type_III
73,0,20.908785,1.700996,126.490236,yes,2,3,Sometimes,no,1.242832,no,0.530925,0.575969,Obesity_Type_III
74,0,20.781751,1.734092,125.117633,yes,2,3,Sometimes,no,1.54249,no,0.6277,0.450479,Obesity_Type_III
75,0,21.289104,1.708291,130.986338,yes,2,3,Sometimes,no,1.205548,no,1.723934,0.952352,Obesity_Type_III
76,0,21.210732,1.716497,130.871127,yes,2,3,Sometimes,no,1.301657,no,1.718543,0.947884,Obesity_Type_III
77,0,26.0,1.62495,111.00492,yes,2,3,Sometimes,no,2.704315,no,0.0,0.322666,Obesity_Type_III
78,0,26.0,1.594776,110.640929,yes,2,3,Sometimes,no,2.639816,no,0.0,0.452236,Obesity_Type_III
79,0,26.0,1.626503,110.818757,yes,2,3,Sometimes,no,2.708927,no,0.0,0.278962,Obesity_Type_III
80,0,26.0,1.624576,110.803117,yes,3,3,Sometimes,no,2.704827,no,0.0,0.269577,Obesity_Type_III
81,0,21.656907,1.729099,134.842656,yes,3,3,Sometimes,no,1.3954,no,1.931173,0.878258,Obesity_Type_III
82,0,21.760734,1.73581,135.346677,no,3,3,Sometimes,no,2.611654,no,1.618512,0.868788,Obesity_Type_III
83,0,21.028989,1.748524,133.878843,no,3,3,Sometimes,no,2.868167,no,1.48372,0.83509,Obesity_Type_III
84,0,21.282238,1.748951,133.662583,no,3,3,Sometimes,no,2.247979,no,1.609938,0.849236,Obesity_Type_III
85,0,20.388049,1.777971,137.785027,no,3,3,Sometimes,no,2.702789,no,1.606109,0.731213,Obesity_Type_III
86,0,21.022206,1.73995,135.693381,no,3,3,Sometimes,no,1.663213,no,1.094035,0.786665,Obesity_Type_III
87,0,20.102241,1.816868,153.959945,no,3,3,Sometimes,no,2.414739,no,1.917014,0.927982,Obesity_Type_III
88,0,21.291969,1.8002,155.242672,no,3,3,Sometimes,no,2.351193,no,1.051889,0.686491,Obesity_Type_III
89,0,20.530998,1.74647,133.644711,no,3,3,Sometimes,no,2.896088,no,1.612741,0.77319,Obesity_Type_III
90,0,18.976968,1.759091,133.903612,yes,3,3,Sometimes,no,2.862408,no,1.456933,0.742423,Obesity_Type_III
91,0,20.924956,1.752531,133.618706,yes,3,3,Sometimes,no,2.887659,no,1.480919,0.779641,Obesity_Type_III
92,0,21.28253,1.761773,133.903469,yes,3,3,Sometimes,no,2.893062,no,1.408177,0.807457,Obesity_Type_III
93,0,26.0,1.633195,111.883747,yes,3,3,Sometimes,no,2.619517,no,0.0,0.140368,Obesity_Type_III
94,0,26.0,1.633945,111.9307,yes,3,3,Sometimes,no,2.682804,no,0.0,0.15171,Obesity_Type_III
95,0,26.0,1.641601,111.830924,yes,3,3,Sometimes,no,2.552388,no,0.0,0.196288,Obesity_Type_III
96,0,26.0,1.641132,111.841706,yes,3,3,Sometimes,no,2.617401,no,0.0,0.200379,Obesity_Type_III
97,0,25.999174,1.638218,104.810024,yes,3,3,Sometimes,no,2.654636,no,0.069238,0.629578,Obesity_Type_III
98,0,25.999942,1.627483,104.881994,yes,3,3,Sometimes,no,2.569364,no,0.159255,0.419446,Obesity_Type_III
99,0,26.0,1.610225,104.936381,yes,3,3,Sometimes,no,1.322004,no,0.0,0.539876,Obesity_Type_III
100,0,26.0,1.61739,105.013901,yes,3,3,Sometimes,no,1.292479,no,0.0,0.541309,Obesity_Type_III
101,0,23.365041,1.744319,133.45249,yes,1,3,Sometimes,no,2.839069,no,1.231031,0.792496,Obesity_Type_III
102,0,23.421726,1.755467,133.478611,yes,1,3,Sometimes,no,2.843782,no,1.302507,0.773807,Obesity_Type_III
